BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET,NOR_DATA
K014,I.S. 14 - BROOKLYN,OTHER,962397,4910
K014,I.S. 14 - BROOKLYN,PENET,10962068,55929
K014,K811 SPED - BROOKLYN,OTHER,225000,1148
K015,P.S. 15 - BROOKLYN,OTHER,373151,1904
K015,P.S. 15 - BROOKLYN,ROOF,9438693,48157
K027,P.S. 27 - BROOKLYN,OTHER,50000,255
K027,RED HOOK NEIGHBORHOOD SCHOOL,OTHER,1022792,5218
K027,SUMMIT ACADEMY CHARTER SCHOOL,OTHER,1244587,6350
K031,P.S. 31 - BROOKLYN,OTHER,422920,2158
K043,I.S. 98 - BROOKLYN,OTHER,569024,2903
K052,P.S. 52 - BROOKLYN,OTHER,575901,2938
K078,I.S. 78 - BROOKLYN,OTHER,1962705,10014
K090,P.S. 90 - BROOKLYN,OTHER,416740,2126
K100,P.S. 100 - BROOKLYN,OTHER,1793196,9149
K101,P.S. 101 - BROOKLYN,OTHER,82430431,420563
K194,P.S. 194 - BROOKLYN,OTHER,572008,2918
K195,P.S. 195 - BROOKLYN,OTHER,298757,1524
K207,P.S. 207 - BROOKLYN,OTHER,1181842,6030
K209,P.S. 209 - BROOKLYN,OTHER,362670,1850
K211,I.S. 211 - BROOKLYN,OTHER,531687,2713
K212,P.S. 212 - BROOKLYN,OTHER,899607,4590
K212,P.S. 212 - BROOKLYN,ROOF,14308715,73004
K216,P.S. 216 - BROOKLYN,OTHER,1191933,6081
K225,K771 SPED - BROOKLYN,OTHER,150000,765
K225,P.S. 225 - BROOKLYN,OTHER,214150,1093
K236,P.S. 236 - BROOKLYN,FLOOD,18718609,95503
K236,P.S. 236 - BROOKLYN,OTHER,878490,4482
K239,I.S. 239 - BROOKLYN,OTHER,606365,3094
K253,P.S. 253 - BROOKLYN,FLOOD,8170229,41685
K253,P.S. 253 - BROOKLYN,OTHER,340640,1738
K254,P.S. 254 - BROOKLYN,OTHER,55190456,281584
K260,THE FRESH CREEK SCHOOL - BROOK,OTHER,998565,5095
K272,P.S. 272 - BROOKLYN,OTHER,970550,4952
