BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET
K001,P.S. 1 - BROOKLYN,OTHER,1950463
K002,I.S. 2 - BROOKLYN,OTHER,7250724
K002,I.S. 2 - BROOKLYN,ROOF,3401151
K003,P.S. 3 - BROOKLYN,OTHER,706593
K005,P.S. 5 - BROOKLYN,OTHER,845798
K006,P.S. 6 - BROOKLYN,OTHER,322833
K007,P.S. 7 - BROOKLYN,OTHER,1439438
K008,P.S. 8 - BROOKLYN,OTHER,120564
K009,P.S. 9 - BROOKLYN,OTHER,40255
K009,PUBLIC SCHOOL 9 THE SARAH SMIT,OTHER,75000
K011,P.S. 11 - BROOKLYN,FLOOD,8733361
K011,P.S. 11 - BROOKLYN,OTHER,608419
K012,I.S. 484 - BROOKLYN,OTHER,734817
K012,P.S. 12 - BROOKLYN,OTHER,439874
K013,P.S. 13 - BROOKLYN,OTHER,1489392
K016,P.S. 16 - BROOKLYN,FLOOD,4826340
K016,P.S. 16 - BROOKLYN,OTHER,174883
K017,I.S. 577 - BROOKLYN,OTHER,14679317
K017,P.S. 17 - BROOKLYN,OTHER,7107059
K019,P.S. 414 - BROOKLYN,OTHER,65000
K020,P.S. 20 - BROOKLYN,OTHER,887087
K021,K140 SPED - BROOKLYN,OTHER,45000
K021,P.S. 21 - BROOKLYN,OTHER,971262
K022,P.S. 705 - BROOKLYN,OTHER,2696960
K023,P.S. 23 - BROOKLYN,OTHER,923700
K024,P.S. 24 - BROOKLYN,OTHER,2626966
K025,I.S. 534 - BROOKLYN,OTHER,287325
K025,P.S. 25 - BROOKLYN,OTHER,2589117
K026,I.S. 681 - BROOKLYN,OTHER,1221456
K026,P.S. 26 - BROOKLYN,OTHER,1185536
K028,P.S. 28 - BROOKLYN,OTHER,200000
K029,P.S. 29 - BROOKLYN,OTHER,217882
K032,I.S. 442 - BROOKLYN,OTHER,34737
K032,P.S. 32 - BROOKLYN,OTHER,88294273
K033,K368 SPED - BROOKLYN,OTHER,74645
K033,SUCCESS ACADEMY CHARTER SCHOOL,OTHER,14702256
K035,BKLYN BROWNSTONE SCL - K,OTHER,62000
K035,I.S. 35 - BROOKLYN,OTHER,11945377
K038,P.S. 38 - BROOKLYN,OTHER,16011
K038,P.S. 38 - BROOKLYN,ROOF,2048471
K039,P.S. 39 - BROOKLYN,OTHER,69737
K040,GOTHAM PROFESSIONAL ARTS ACAD,OTHER,176804
K040,P.S. 40 - BROOKLYN,OTHER,646130
K040,P.S. 40 - BROOKLYN,ROOF,2805448
K041,P.S. 41 - BROOKLYN,OTHER,10166823
K044,P.S. 44 - BROOKLYN,OTHER,124228
K045,P.S. 45 - BROOKLYN,OTHER,2113839
K046,FORT GREENE PREPARATORY ACADEM,OTHER,100000
K046,P.S. 46 - BROOKLYN,OTHER,726562
K048,P.S. 48 - BROOKLYN,FLOOD,12008306
K048,P.S. 48 - BROOKLYN,OTHER,624079
K049,LYONS COMMUNITY SCHOOL - K,OTHER,303449
K050,J.H.S. 50 - BROOKLYN,OTHER,613276
K051,I.S. 51 - BROOKLYN,OTHER,234604
K051,I.S. 51 - BROOKLYN,ROOF,9105986
K054,P.S. 54 - BROOKLYN,OTHER,64704
K055,BROOKLYN COLLEGIATE: A COLLEGE,OTHER,1158268
K056,I.S. 351 - BROOKLYN,OTHER,2155629
K056,P.S. 56 - BROOKLYN,OTHER,586716
K056,P.S. 56 - BROOKLYN,ROOF,17747832
K057,BROOKLYN ACADEMY OF GLOBAL FIN,OTHER,35000
K057,BROOKLYN EMERGING LEADERS ACAD,OTHER,252100
K057,J.H.S. 57 - BROOKLYN,OTHER,102481
K058,P.S. 58 - BROOKLYN,OTHER,7162202
K059,P.S. 59 - BROOKLYN,OTHER,299974
K061,I.S. 61 - BROOKLYN,OTHER,506476
K061,I.S. 61 - BROOKLYN,ROOF,23061641
K062,I.S. 62 - BROOKLYN,OTHER,9238210
K066,P.S. 66 - BROOKLYN,OTHER,1271037
K067,P.S. 67 - BROOKLYN,OTHER,1407827
K068,I.S. 68 - BROOKLYN,OTHER,1691176
K069,P.S. 69 - BROOKLYN,OTHER,420976
K069,P.S. 69 - BROOKLYN,ROOF,7678956
K071,BEGINNING WITH CHLDRN CHRTR II,OTHER,193923
K071,I.S. 71 - BROOKLYN,OTHER,3665601
K072,EAST NEW YORK ELEMENTARY SCHL,OTHER,290556
K072,EAST NEW YORK MIDDLE SCHOOL OF,OTHER,69474
K073,BROOKLYN ENVIRONMENTAL EXPLORA,OTHER,226566
K075,P.S. 75 - BROOKLYN,FLOOD,4729708
K075,P.S. 75 - BROOKLYN,OTHER,89997
K081,P.S. 81 - BROOKLYN,OTHER,278000
K084,P.S. 84 - BROOKLYN,OTHER,124000
K085,K753 SPED - BROOKLYN,OTHER,6674496
K086,P.S. 86 - BROOKLYN,OTHER,745508
K088,I.S. 88 - BROOKLYN,OTHER,1376392
K091,P.S. 91 - BROOKLYN,OTHER,847855
K092,P.S. 92 - BROOKLYN,OTHER,14124310
K093,P.S. 93 - BROOKLYN,OTHER,47301
K094,P.S. 94 - BROOKLYN,FLOOD,9815491
K094,P.S. 94 - BROOKLYN,OTHER,2859371
K095,P.S. 95 - BROOKLYN,OTHER,5641601
K096,I.S. 96 - BROOKLYN,OTHER,199328
K097,P.S. 97,OTHER,173765
K097,P.S. 97 - BROOKLYN,OTHER,69185926
K099,P.S. 99 - BROOKLYN,OTHER,599271
K102,P.S. 102 - BROOKLYN,OTHER,701347
K102,P.S. 102 - BROOKLYN,ROOF,12966731
K104,P.S. 104 - BROOKLYN,FLOOD,13424652
K104,P.S. 104 - BROOKLYN,OTHER,8520522
K105,P.S. 105 - BROOKLYN,FLOOD,7843954
K105,P.S. 105 - BROOKLYN,OTHER,894710
K106,P.S. 106 - BROOKLYN,OTHER,100865
K107,P.S. 107 - BROOKLYN,OTHER,243181
K107,P.S. 107 - BROOKLYN,ROOF,4896266
K108,P.S. 108 - BROOKLYN,OTHER,1169560
K110,P.S. 110 - BROOKLYN,OTHER,242464
K111,I.S. 347 - BROOKLYN,OTHER,410543
K111,I.S. 349 - BROOKLYN,OTHER,158493
K112,P.S. 112 - BROOKLYN,OTHER,95845
K113,I.S. 113 - BROOKLYN,OTHER,518478
K114,P.S. 114 - BROOKLYN,OTHER,675196
K115,P.S. 115 - BROOKLYN,OTHER,193596
K116,P.S. 116 - BROOKLYN,OTHER,326713
K117,BKLYN HS FOR LEADERSHIP & COMM,OTHER,98645
K117,BROOKLYN COMMUNITY ARTS & MEDI,OTHER,98645
K117,M.S. 596 PEACE ACADEMY - K,OTHER,98645
K119,P.S. 119 - BROOKLYN,OTHER,1516298
K120,K368 SPED - BROOKLYN,OTHER,350000
K120,P.S. 120 - BROOKLYN,OTHER,610708
K121,P.S. 121 - BROOKLYN,OTHER,249485
K121,P.S. 121 - BROOKLYN,ROOF,5643858
K123,P.S. 123 - BROOKLYN,OTHER,210448
K124,P.S. 124 - BROOKLYN,FLOOD,4400048
K124,P.S. 124 - BROOKLYN,OTHER,666903
K126,BELIEVE NORTHSIDE CHARTER HIGH,OTHER,35000
K126,J.H.S. 126 - BROOKLYN,OTHER,1825110
K126,WILLIAMSBURG CHARTER SCHOOL -,OTHER,235000
K127,P.S. 127 - BROOKLYN,OTHER,75709819
K127,P.S. 127 - BROOKLYN,ROOF,4107147
K128,P.S. 128 - BROOKLYN,OTHER,2460063
K130,P.S. 130 - BROOKLYN,OTHER,1159356
K130,P.S. 130 - BROOKLYN,ROOF,14700502
K131,P.S. 131 - BROOKLYN,FLOOD,15509395
K131,P.S. 131 - BROOKLYN,OTHER,401442
K132,P.S. 132 - BROOKLYN,OTHER,665715
K135,P.S. 135 - BROOKLYN,OTHER,291000
K135,P.S. 135 - BROOKLYN,ROOF,8762063
K136,I.S. 136 - BROOKLYN,FLOOD,13289710
K136,I.S. 136 - BROOKLYN,OTHER,5218629
K136,I.S. 821 - BROOKLYN,OTHER,3658372
K137,P.S. 137 - BROOKLYN,OTHER,353560
K138,P.S. 138 - BROOKLYN,FLOOD,10526802
K138,P.S. 138 - BROOKLYN,OTHER,181829
K139,P.S. 139 - BROOKLYN,OTHER,1813978
