BLD_CODE,LAT,LON,FLOOD_2020,FLOOD_2050,Sum of TOT_ENRO,NEW SCHOOLS,OTHER,FLOOD,PENETRATION,ROOF,SANDY,MIT_BUDGET,value,id_OTHER,id_FLOOD,id_PENETRATION,id_ROOF,id_SANDY
K001,40.648959,-74.01142,0,0,1199,0,1950463,0,0,0,0,0,1950463,1,0,0,0,0
K002,40.656423,-73.951575,0,0,1351,0,7250724,0,0,3401151,0,3401151,10651875,1,0,0,1,0
K003,40.682311,-73.955219,0,0,360,0,706593,0,0,0,0,0,706593,1,0,0,0,0
K005,40.685241,-73.92197,0,0,216,0,845798,0,0,0,0,0,845798,1,0,0,0,0
K006,40.648973,-73.956279,0,0,649,0,322833,0,0,0,0,0,322833,1,0,0,0,0
K007,40.689213,-73.872983,0,0,823,0,1439438,0,0,0,0,0,1439438,1,0,0,0,0
K008,40.700709,-73.992841,0,0,901,0,120564,0,0,0,0,0,120564,1,0,0,0,0
K009,40.678554,-73.966333,0,0,942,0,115255,0,0,0,0,0,115255,1,0,0,0,0
K010,40.660912,-73.985946,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0
K011,40.685896,-73.96589,0,0,894,0,608419,8733361,0,0,0,8733361,9341780,1,1,0,0,0
K012,40.673124,-73.920095,0,0,448,0,1174691,0,0,0,0,0,1174691,1,0,0,0,0
K013,40.664067,-73.893328,0,0,1560,0,1489392,0,0,0,0,0,1489392,1,0,0,0,0
K014,40.593232,-73.938107,1,1,527,0,1187397,0,10962068,0,0,10962068,12149465,1,0,1,0,0
K015,40.677085,-74.011864,1,1,485,0,373151,0,0,9438693,0,9438693,9811844,1,0,0,1,0
K016,40.706069,-73.962049,0,0,552,0,174883,4826340,0,0,0,4826340,5001223,1,1,0,0,0
K017,40.715268,-73.9573,0,0,785,0,21786376,0,0,0,0,0,21786376,1,0,0,0,0
K018,40.71088,-73.946695,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0
K019,40.710107,-73.954678,0,0,616,0,65000,0,0,0,0,0,65000,1,0,0,0,0
K020,40.690742,-73.970896,0,0,1009,0,887087,0,0,0,0,0,887087,1,0,0,0,0
K021,40.68035,-73.926673,0,0,574,0,1016262,0,0,0,0,0,1016262,1,0,0,0,0
K022,40.6771,-73.960093,0,0,864,0,2696960,0,0,0,0,0,2696960,1,0,0,0,0
K023,40.69447,-73.947256,0,0,505,0,923700,0,0,0,0,0,923700,1,0,0,0,0
K024,40.652832,-74.004533,0,0,615,0,2626966,0,0,0,0,0,2626966,1,0,0,0,0
K025,40.691472,-73.940749,0,0,82,0,2876442,0,0,0,0,0,2876442,1,0,0,0,0
K026,40.6921,-73.9317,0,0,438,0,2406992,0,0,0,0,0,2406992,1,0,0,0,0
K027,40.677914,-74.005151,1,1,445,0,2317379,0,0,0,0,0,2317379,1,0,0,0,0
