,Object-ID,SYS_CODE,LOC_NAME,BED_CODE,MAN_NAME,DES_TYPE,CAT_DES,BLD_CODE,ADDRESS,ST_CODE,LAT,LON,COM_DIST,COUN_DIS,CENSUS_TRACT,BOR_BLOCK,NTA,NTA_NAME,ADM_DIST,DBN_CODE,SCH_NAME,YEAR,TOT_ENRO,GRADE PK,GRADE K,GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,NUM_POV,PERC_POV,ECON_IND
1,K001,1.63782766537524e-312,P.S. 001 The Bergen,332000000000,DOE,General Academic,Elementary,K001,309 47 STREET,NY,40.648959,-74.011420,307,38,8000,1.48592714401929e-314,BK32,Sunset Park West,COMMUNITY SCHOOL DISTRICT 15,15K001,P.S. 001 The Bergen,2018-19,1199,130,165,179,188,172,182,183,0,0,0,0,0,0,0,971,81%,86%
2,K002,1.63881579667186e-312,Parkside Preparatory Academy,332000000000,DOE,General Academic,Junior High-Intermediate-Middle,K002,655 PARKSIDE AVENUE,NY,40.656423,-73.951575,309,40,80200,1.50714727783607e-314,BK60,Prospect Lefferts Gardens-Wingate,COMMUNITY SCHOOL DISTRICT 17,17K002,Parkside Preparatory Academy,2018-19,476,0,0,0,0,0,0,0,147,163,166,0,0,0,0,424,89%,78%
3,K003,1.63683953409344e-312,P.S. 003 The Bedford Village,331000000000,DOE,General Academic,Elementary,K003,50 JEFFERSON AVENUE,NY,40.682311,-73.955219,303,36,22700,1.49206836962171e-314,BK69,Clinton Hill,COMMUNITY SCHOOL DISTRICT 13,13K003,P.S. 003 The Bedford Village,2018-19,360,46,47,64,57,48,48,50,0,0,0,0,0,0,0,333,93%,84%
4,K004,1.51925192521013e-312,P.S. K004,308000000000,DOE,Special Education,Elementary,K843,530 STANLEY AVENUE,NY,40.656599,-73.888024,305,42,110400,1.50378266608461e-314,BK82,East New York,CITYWIDE SPECIAL EDUCATION,75K004,P.S. K004,2018-19,323,22,59,48,48,54,48,44,0,0,0,0,0,0,0,265,82%,86%
5,K005,1.63832173104084e-312,P.S. 005 Dr. Ronald McNair,332000000000,DOE,General Academic,Elementary,K005,820 HANCOCK STREET,NY,40.685241,-73.921970,303,41,37700,1.48955851614084e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 16,16K005,P.S. 005 Dr. Ronald Mcnair,2018-19,216,52,29,36,17,30,33,19,0,0,0,0,0,0,0,182,84%,83%
6,K006,1.63881579669162e-312,Norma Adams Clemons Academy,332000000000,DOE,General Academic,Elementary,K006,43 SNYDER AVENUE,NY,40.648973,-73.956279,314,40,79400,1.5074091464622e-314,BK95,Erasmus,COMMUNITY SCHOOL DISTRICT 17,17K006,Norma Adams Clemons Academy,2018-19,649,0,76,104,93,126,128,122,0,0,0,0,0,0,0,529,82%,85%
7,K007,1.63980392798825e-312,P.S. 007 Abraham Lincoln,332000000000,DOE,General Academic,Elementary,K007,858 JAMAICA AVENUE,NY,40.689213,-73.872983,305,37,118201,1.50248329221054e-314,BK83,Cypress Hills-City Line,COMMUNITY SCHOOL DISTRICT 19,19K007,P.S. 007 Abraham Lincoln,2018-19,823,36,108,138,122,144,130,145,0,0,0,0,0,0,0,751,91%,84%
8,K008,1.63683953411814e-312,P.S. 008 Robert Fulton,331000000000,DOE,General Academic,K-8,K008,37 HICKS STREET,NY,40.700709,-73.992841,302,33,100,1.48323941653053e-314,BK09,Brooklyn Heights-Cobble Hill,COMMUNITY SCHOOL DISTRICT 13,13K008,P.S. 008 Robert Fulton,2018-19,901,0,123,132,109,89,116,92,79,71,90,0,0,0,0,176,20%,18%
9,K009,1.63683953412308e-312,P.S. 009 Teunis G. Bergen,331000000000,DOE,General Academic,Elementary,K009,80 UNDERHILL AVENUE,NY,40.678554,-73.966333,308,35,20500,1.48785400201433e-314,BK64,Prospect Heights,COMMUNITY SCHOOL DISTRICT 13,13K009,P.S. 009 Teunis G. Bergen,2018-19,942,130,157,141,139,132,126,117,0,0,0,0,0,0,0,337,36%,37%
10,K010,1.6378276654197e-312,"Magnet School of Math, Science and Design Technolo",332000000000,DOE,General Academic,Elementary,K010,511 7 AVENUE,NY,40.660912,-73.985946,307,38,14900,1.48649036848017e-314,BK37,Park Slope-Gowanus,COMMUNITY SCHOOL DISTRICT 15,15K010,"Magnet School of Math, Science and Design Technolo",2018-19,951,0,171,163,160,160,147,149,1,0,0,0,0,0,0,203,21%,30%
11,K011,1.63683953413296e-312,P.S. 011 Purvis J. Behan,331000000000,DOE,General Academic,Elementary,K011,419 WAVERLY AVENUE,NY,40.685896,-73.965890,302,35,19900,1.4918905104358e-314,BK69,Clinton Hill,COMMUNITY SCHOOL DISTRICT 13,13K011,P.S. 011 Purvis J. Behan,2018-19,894,72,124,148,140,136,150,124,0,0,0,0,0,0,0,351,39%,44%
