,LON,LAT,TOT_ENRO
1,40.648959,-74.01142,1199
2,40.656423,-73.951575,476
3,40.682311,-73.955219,360
4,40.656599,-73.888024,323
5,40.685241,-73.92197,216
6,40.648973,-73.956279,649
7,40.689213,-73.872983,823
8,40.700709,-73.992841,901
9,40.678554,-73.966333,942
10,40.660912,-73.985946,951
11,40.685896,-73.96589,894
12,40.673124,-73.920095,280
13,40.664067,-73.893328,450
14,40.593232,-73.938107,527
15,40.677085,-74.011864,485
16,40.706069,-73.962049,222
17,40.715268,-73.9573,297
18,40.71088,-73.946695,194
19,40.690742,-73.970896,481
20,40.68035,-73.926673,574
21,40.69447,-73.947256,291
22,40.652832,-74.004533,615
23,40.691472,-73.940749,82
24,40.6921,-73.9317,259
25,40.678238,-73.919847,116
26,40.686843,-73.997447,950
27,40.633598,-74.02395,994
28,40.72697,-73.954139,619
29,40.680159,-73.991141,480
30,40.726378,-73.949756,471
31,40.681528,-73.935891,225
32,40.660465,-73.887195,387
33,40.703996,-73.953304,404
34,40.684945,-73.982826,613
35,40.668644,-73.982909,412
36,40.680239,-73.921099,348
37,40.660455,-73.906925,402
38,40.686213,-73.940859,119
39,40.686424,-73.91043,621
40,40.69453,-73.971644,260
41,40.621481,-73.987165,565
42,40.711915,-73.960137,324
43,40.672358,-73.98505,1135
44,40.588372,-73.940135,817
45,40.660805,-73.988743,448
46,40.692616,-73.952504,226
47,40.684286,-73.960536,264
48,40.691467,-73.932254,160
49,40.680379,-73.995486,1009
50,40.697619,-73.943279,336
51,40.663605,-73.949198,669
52,40.638087,-73.971153,1213
53,40.686534,-73.878353,586
54,40.648749,-73.907064,798
55,40.695339,-73.977674,217
56,40.635388,-73.911215,289
57,40.632392,-74.009752,770
58,40.703996,-73.953304,515
59,40.693261,-73.921336,308
60,40.678809,-73.976648,277
61,40.620537,-73.912914,569
62,40.692866,-73.935123,286
63,40.715089,-73.963808,764
64,40.700595,-73.917804,354
65,40.660805,-73.988743,1447
66,40.677707,-73.886712,469
67,40.578192,-73.980387,638
68,40.661806,-73.940707,254
69,40.656276,-73.95381,415
70,40.679079,-73.946381,220
71,40.64373,-74.008795,1283
72,40.595996,-73.974664,982
73,40.608135,-73.984985,807
74,40.601191,-73.98557,770
75,40.583893,-73.954047,1561
76,40.621474,-73.966031,861
77,40.577591,-73.97083,822
78,40.597379,-73.991962,877
79,40.634318,-74.028758,1424
80,40.618077,-74.028492,1244
81,40.63332,-74.003635,1414
82,40.693318,-73.913378,399
83,40.662945,-73.981181,551
84,40.681295,-73.884348,934
85,40.635842,-73.933099,582
86,40.723743,-73.941926,557
87,40.619417,-74.000565,685
88,40.688769,-73.971474,343
89,40.642684,-73.90788,515
90,40.634861,-73.897896,902
91,40.698077,-73.916563,352
92,40.671145,-73.987602,345
93,40.626038,-73.938733,447
94,40.700819,-73.937888,381
95,40.622671,-73.978472,337
96,40.675905,-73.939282,581
97,40.704076,-73.922388,587
98,40.667464,-73.99062,305
99,40.697619,-73.943279,346
100,40.719818,-73.947932,369
101,40.623687,-74.018429,508
102,40.60498,-73.995084,465
103,40.685006,-73.993293,329
104,40.648924,-73.976053,831
105,40.640728,-73.993247,938
106,40.714772,-73.945663,755
107,40.679916,-73.980455,751
108,40.632145,-73.97318,587
109,40.653093,-73.932949,515
110,40.652127,-74.007596,506
111,40.682248,-73.916641,289
112,40.673943,-73.951559,539
113,40.64134,-73.965862,949
114,40.68192,-73.9456,338
115,40.656423,-73.951575,355
116,40.701107,-73.932388,515
117,40.679462,-74.002022,694
118,40.705005,-73.93879,360
119,40.669361,-73.89276,638
120,40.668768,-73.90514,191
121,40.693432,-73.908242,294
122,40.632619,-73.954269,655
123,40.601179,-73.960027,547
124,40.657002,-73.975967,552
125,40.677634,-73.908682,442
126,40.665553,-73.91788,642
127,40.695397,-73.959999,417
128,40.67259,-73.885214,517
129,40.676111,-73.869705,749
130,40.636932,-73.999045,1276
131,40.665757,-73.949243,370
132,40.706816,-73.919643,322
133,40.606739,-74.007469,599
134,40.637101,-73.985739,682
135,40.657061,-73.910938,290
136,40.696457,-73.911751,277
137,40.645825,-74.0017,1397
138,40.630373,-74.018719,1014
139,40.685852,-73.869434,418
140,40.657682,-74.000191,578
141,40.624835,-74.005205,1293
142,40.608169,-73.974425,985
143,40.67538,-73.915337,338
144,40.640127,-73.97726,817
145,40.626454,-73.98925,1077
146,40.648217,-73.945883,644
147,40.711915,-73.960137,426
148,40.660385,-73.905004,533
149,40.623598,-74.033429,634
150,40.610917,-73.994258,1061
151,40.627929,-74.003883,953
152,40.576733,-74.000489,390
153,40.665228,-73.925435,1060
154,40.662243,-73.894877,177
155,40.67173,-73.924127,164
156,40.6288,-73.97954,642
157,40.62208,-73.950321,703
158,40.598069,-73.934163,557
159,40.580161,-73.943498,484
160,40.708804,-73.939385,327
161,40.612339,-73.951398,769
162,40.637601,-73.937083,408
163,40.61631,-73.963026,567
164,40.602809,-74.001915,1351
165,40.619043,-74.013749,1651
166,40.665817,-73.876084,340
167,40.622108,-73.925732,675
168,40.613535,-74.006137,1111
169,40.614737,-73.986792,1304
170,40.596876,-73.948453,1518
171,40.613981,-73.930485,1159
172,40.6427,-73.930898,359
173,40.5868,-73.961191,706
174,40.642931,-73.895224,436
